date,S_up_gamma_5,S_down_gamma_5,S_up_diff_5,S_down_diff_5
2018-06-11,50525.2204941294,17762.781914082167,22514.008300829788,7547.407135446871
2018-06-12,47644.04269224247,14166.740124317726,21562.407793314225,6034.172070717907
2018-06-13,48958.74553885743,14956.183508764145,22594.217016655166,6372.889461337505
2018-06-14,45911.62473822196,13831.377861311623,20841.12688287099,6356.515168235434
2018-06-15,46297.45166539061,15049.430006014796,19719.660560353183,5960.003381405426
2018-06-19,39938.73860220749,14162.302844290916,16113.726205395687,6202.94763573669
2018-06-20,32006.95809193079,12521.830184894035,11325.318565692109,3530.7508637087067
2018-06-21,33060.78050164622,11857.428518599096,11515.639103072503,3385.7599736855536
2018-06-25,30883.434597131643,12688.221947553207,6822.074597861945,3343.3192360604935
2018-06-26,28129.52201136842,10926.376562363172,7434.159999985499,2521.845716397598
2018-07-03,30170.270227074034,10330.528913524091,8654.738282241218,2620.16713388076
2018-07-09,38853.7355951755,16857.06530921659,10057.415953892069,4815.869698988474
2018-07-16,29838.060927674636,10294.877890579122,10365.610871653465,2392.1734069950617
2018-07-25,36739.54320492447,23024.546725855387,13258.031878662354,9639.02551807724
2018-07-30,28694.22756510897,22307.774884164533,8245.068052845985,6830.41024785986
2018-08-02,32453.55012189811,22361.471073370332,9611.772909816176,8292.434361879878
2018-08-07,33586.57930050493,24200.995801305828,10671.079626596416,8392.94763826978
2018-08-09,33222.63349806189,26055.697712083682,9382.57184766448,9784.486297567604
2018-08-10,34001.179721030305,27913.15037063414,10726.001719088112,9969.338987921994
2018-08-13,33625.12537191648,18308.595430169167,12548.586780930782,6080.274629557121
2018-08-15,32990.73444824148,21097.34628420631,13316.160938259625,9200.137954598214
2018-08-20,44977.40324302076,30511.872153326476,14673.562247715552,10381.212252475027
2018-08-23,44015.48962258098,23935.77079390818,15651.946059477752,8829.573213249681
2018-09-10,33501.967316759336,20149.63786268659,13305.886208513042,7592.788295000422
2018-09-12,32089.484223322463,18981.660939960348,13175.55048277697,6580.088960583342
2018-09-13,33168.49509959898,20071.330119982675,15071.69692191224,8127.093992784019
2018-09-14,30794.797269866827,19438.78514920733,13693.54550677886,7436.668967026528
2018-09-19,27978.90862191248,12695.418180310402,13612.651426262793,4987.178321195421
2018-09-23,0,0,0,0
2018-09-27,30492.160011643427,21142.053335870714,12831.788279195036,9135.308666322348
2018-10-01,32193.247629251153,20767.60743816851,14429.214507130066,9684.36807968336
2018-10-15,31905.267608334918,27297.228288828068,17959.14209981262,15439.08418244783
